MPIprocs;OMPthreads;domainSize;nIterations;diskWriteIntensity;airflow;materialFile;simulationMode;simulationOutputFile;middleColAvgTemp;totalTime;iterationTime
1;1;256;39062;50;0.001000;input_data_256.h5;;par;33.998482;5.114567e+00;1.309346e-04
1;1;256;39062;50;0.001000;input_data_256.h5;/scratch/temp/dd-17-10-30/722476.isrv5/256x256_out_hybrid_par.h5;par;33.998482;5.355466e+00;1.371017e-04
1;1;256;39062;50;0.001000;input_data_256.h5;/scratch/temp/dd-17-10-30/722476.isrv5/256x256_out_hybrid_par.h5;par;33.998482;5.450995e+00;1.395473e-04
1;1;512;19531;50;0.001000;input_data_512.h5;;par;25.109791;1.118170e+01;5.725105e-04
1;1;512;19531;50;0.001000;input_data_512.h5;/scratch/temp/dd-17-10-30/722476.isrv5/512x512_out_hybrid_par.h5;par;25.109791;1.149214e+01;5.884052e-04
1;1;512;19531;50;0.001000;input_data_512.h5;/scratch/temp/dd-17-10-30/722476.isrv5/512x512_out_hybrid_par.h5;par;25.109791;1.149266e+01;5.884316e-04
1;1;1024;9765;50;0.001000;input_data_1024.h5;;par;21.858469;2.445235e+01;2.504081e-03
1;1;1024;9765;50;0.001000;input_data_1024.h5;/scratch/temp/dd-17-10-30/722476.isrv5/1024x1024_out_hybrid_par.h5;par;21.858469;2.512139e+01;2.572595e-03
1;1;1024;9765;50;0.001000;input_data_1024.h5;/scratch/temp/dd-17-10-30/722476.isrv5/1024x1024_out_hybrid_par.h5;par;21.858469;2.510305e+01;2.570717e-03
1;1;2048;4882;50;0.001000;input_data_2048.h5;;par;20.667971;5.618077e+01;1.150774e-02
1;1;2048;4882;50;0.001000;input_data_2048.h5;/scratch/temp/dd-17-10-30/722476.isrv5/2048x2048_out_hybrid_par.h5;par;20.667971;5.733357e+01;1.174387e-02
1;1;2048;4882;50;0.001000;input_data_2048.h5;/scratch/temp/dd-17-10-30/722476.isrv5/2048x2048_out_hybrid_par.h5;par;20.667971;5.711486e+01;1.169907e-02
1;1;4096;2441;50;0.001000;input_data_4096.h5;;par;20.241123;1.174737e+02;4.812524e-02
1;1;4096;2441;50;0.001000;input_data_4096.h5;/scratch/temp/dd-17-10-30/722476.isrv5/4096x4096_out_hybrid_par.h5;par;20.241123;1.256566e+02;5.147753e-02
1;1;4096;2441;50;0.001000;input_data_4096.h5;/scratch/temp/dd-17-10-30/722476.isrv5/4096x4096_out_hybrid_par.h5;par;20.241123;1.250641e+02;5.123479e-02
2;12;256;390625;50;0.001000;input_data_256.h5;;par;40.123703;6.906222e+00;1.767993e-05
2;12;256;390625;50;0.001000;input_data_256.h5;/scratch/temp/dd-17-10-30/722476.isrv5/256x256_out_hybrid_par.h5;par;40.123703;1.372177e+01;3.512772e-05
2;12;256;390625;50;0.001000;input_data_256.h5;/scratch/temp/dd-17-10-30/722476.isrv5/256x256_out_hybrid_par.h5;par;40.123703;1.237107e+01;3.166994e-05
2;12;512;195312;50;0.001000;input_data_512.h5;;par;34.636463;9.197023e+00;4.708888e-05
2;12;512;195312;50;0.001000;input_data_512.h5;/scratch/temp/dd-17-10-30/722476.isrv5/512x512_out_hybrid_par.h5;par;34.636463;1.511094e+01;7.736821e-05
2;12;512;195312;50;0.001000;input_data_512.h5;/scratch/temp/dd-17-10-30/722476.isrv5/512x512_out_hybrid_par.h5;par;34.636463;1.587565e+01;8.128355e-05
2;12;1024;97656;50;0.001000;input_data_1024.h5;;par;25.556873;1.511330e+01;1.547606e-04
2;12;1024;97656;50;0.001000;input_data_1024.h5;/scratch/temp/dd-17-10-30/722476.isrv5/1024x1024_out_hybrid_par.h5;par;25.556873;2.465559e+01;2.524739e-04
2;12;1024;97656;50;0.001000;input_data_1024.h5;/scratch/temp/dd-17-10-30/722476.isrv5/1024x1024_out_hybrid_par.h5;par;25.556873;2.531740e+01;2.592509e-04
2;12;2048;48828;50;0.001000;input_data_2048.h5;;par;22.033672;2.983815e+01;6.110868e-04
2;12;2048;48828;50;0.001000;input_data_2048.h5;/scratch/temp/dd-17-10-30/722476.isrv5/2048x2048_out_hybrid_par.h5;par;22.033672;4.741855e+01;9.711344e-04
2;12;2048;48828;50;0.001000;input_data_2048.h5;/scratch/temp/dd-17-10-30/722476.isrv5/2048x2048_out_hybrid_par.h5;par;22.033672;4.666915e+01;9.557865e-04
2;12;4096;24414;50;0.001000;input_data_4096.h5;;par;20.725403;8.320750e+01;3.408188e-03
2;12;4096;24414;50;0.001000;input_data_4096.h5;/scratch/temp/dd-17-10-30/722476.isrv5/4096x4096_out_hybrid_par.h5;par;20.725403;1.211751e+02;4.963344e-03
2;12;4096;24414;50;0.001000;input_data_4096.h5;/scratch/temp/dd-17-10-30/722476.isrv5/4096x4096_out_hybrid_par.h5;par;20.725403;1.179797e+02;4.832462e-03
4;12;256;390625;50;0.001000;input_data_256.h5;;par;40.131912;7.164372e+00;1.834079e-05
4;12;256;390625;50;0.001000;input_data_256.h5;/scratch/temp/dd-17-10-30/722476.isrv5/256x256_out_hybrid_par.h5;par;40.131912;1.386746e+01;3.550070e-05
4;12;256;390625;50;0.001000;input_data_256.h5;/scratch/temp/dd-17-10-30/722476.isrv5/256x256_out_hybrid_par.h5;par;40.131912;3.523694e+01;9.020656e-05
4;12;512;195312;50;0.001000;input_data_512.h5;;par;34.642967;7.014332e+00;3.591347e-05
4;12;512;195312;50;0.001000;input_data_512.h5;/scratch/temp/dd-17-10-30/722476.isrv5/512x512_out_hybrid_par.h5;par;34.642967;1.361291e+01;6.969827e-05
4;12;512;195312;50;0.001000;input_data_512.h5;/scratch/temp/dd-17-10-30/722476.isrv5/512x512_out_hybrid_par.h5;par;34.642967;2.733565e+01;1.399589e-04
4;12;1024;97656;50;0.001000;input_data_1024.h5;;par;25.559326;9.704049e+00;9.936972e-05
4;12;1024;97656;50;0.001000;input_data_1024.h5;/scratch/temp/dd-17-10-30/722476.isrv5/1024x1024_out_hybrid_par.h5;par;25.559326;1.897438e+01;1.942981e-04
4;12;1024;97656;50;0.001000;input_data_1024.h5;/scratch/temp/dd-17-10-30/722476.isrv5/1024x1024_out_hybrid_par.h5;par;25.559326;2.088004e+01;2.138121e-04
4;12;2048;48828;50;0.001000;input_data_2048.h5;;par;22.033676;1.740554e+01;3.564663e-04
4;12;2048;48828;50;0.001000;input_data_2048.h5;/scratch/temp/dd-17-10-30/722476.isrv5/2048x2048_out_hybrid_par.h5;par;22.033676;3.551815e+01;7.274136e-04
4;12;2048;48828;50;0.001000;input_data_2048.h5;/scratch/temp/dd-17-10-30/722476.isrv5/2048x2048_out_hybrid_par.h5;par;22.033676;2.914580e+01;5.969075e-04
4;12;4096;24414;50;0.001000;input_data_4096.h5;;par;20.725420;4.746296e+01;1.944088e-03
4;12;4096;24414;50;0.001000;input_data_4096.h5;/scratch/temp/dd-17-10-30/722476.isrv5/4096x4096_out_hybrid_par.h5;par;20.725420;8.391505e+01;3.437169e-03
