MPIprocs;OMPthreads;domainSize;nIterations;diskWriteIntensity;airflow;materialFile;simulationMode;simulationOutputFile;middleColAvgTemp;totalTime;iterationTime
1;1;256;39062;50;0.001000;input_data_256.h5;;par;33.998482;5.097446e+00;1.304963e-04
1;1;256;39062;50;0.001000;input_data_256.h5;/scratch/temp/dd-17-10-30/722475.isrv5/256x256_out_mpi_par.h5;par;33.998482;5.367941e+00;1.374210e-04
1;1;256;39062;50;0.001000;input_data_256.h5;/scratch/temp/dd-17-10-30/722475.isrv5/256x256_out_mpi_par.h5;par;33.998482;5.437620e+00;1.392049e-04
1;1;512;19531;50;0.001000;input_data_512.h5;;par;25.109791;1.077865e+01;5.518740e-04
1;1;512;19531;50;0.001000;input_data_512.h5;/scratch/temp/dd-17-10-30/722475.isrv5/512x512_out_mpi_par.h5;par;25.109791;1.157137e+01;5.924616e-04
1;1;512;19531;50;0.001000;input_data_512.h5;/scratch/temp/dd-17-10-30/722475.isrv5/512x512_out_mpi_par.h5;par;25.109791;1.145031e+01;5.862633e-04
1;1;1024;9765;50;0.001000;input_data_1024.h5;;par;21.858469;2.411996e+01;2.470042e-03
1;1;1024;9765;50;0.001000;input_data_1024.h5;/scratch/temp/dd-17-10-30/722475.isrv5/1024x1024_out_mpi_par.h5;par;21.858469;2.539306e+01;2.600416e-03
1;1;1024;9765;50;0.001000;input_data_1024.h5;/scratch/temp/dd-17-10-30/722475.isrv5/1024x1024_out_mpi_par.h5;par;21.858469;2.531920e+01;2.592852e-03
1;1;2048;4882;50;0.001000;input_data_2048.h5;;par;20.667971;5.279689e+01;1.081460e-02
1;1;2048;4882;50;0.001000;input_data_2048.h5;/scratch/temp/dd-17-10-30/722475.isrv5/2048x2048_out_mpi_par.h5;par;20.667971;5.305847e+01;1.086818e-02
1;1;2048;4882;50;0.001000;input_data_2048.h5;/scratch/temp/dd-17-10-30/722475.isrv5/2048x2048_out_mpi_par.h5;par;20.667971;5.680310e+01;1.163521e-02
1;1;4096;2441;50;0.001000;input_data_4096.h5;;par;20.241123;1.053438e+02;4.315599e-02
1;1;4096;2441;50;0.001000;input_data_4096.h5;/scratch/temp/dd-17-10-30/722475.isrv5/4096x4096_out_mpi_par.h5;par;20.241123;1.096354e+02;4.491413e-02
1;1;4096;2441;50;0.001000;input_data_4096.h5;/scratch/temp/dd-17-10-30/722475.isrv5/4096x4096_out_mpi_par.h5;par;20.241123;1.126611e+02;4.615367e-02
16;1;256;390625;50;0.001000;input_data_256.h5;;par;40.134113;8.783753e+00;2.248641e-05
16;1;256;390625;50;0.001000;input_data_256.h5;/scratch/temp/dd-17-10-30/722475.isrv5/256x256_out_mpi_par.h5;par;40.134113;1.509147e+01;3.863416e-05
16;1;256;390625;50;0.001000;input_data_256.h5;/scratch/temp/dd-17-10-30/722475.isrv5/256x256_out_mpi_par.h5;par;40.134113;1.515779e+01;3.880395e-05
16;1;512;195312;50;0.001000;input_data_512.h5;;par;34.644241;1.176991e+01;6.026208e-05
16;1;512;195312;50;0.001000;input_data_512.h5;/scratch/temp/dd-17-10-30/722475.isrv5/512x512_out_mpi_par.h5;par;34.644241;1.620760e+01;8.298313e-05
